monthonly,counts
2008-04,24
2008-05,30
2008-06,32
2008-07,18
2008-08,19
2008-09,25
2008-10,41
2008-11,23
2008-12,18
2009-01,24
2009-02,9
2009-03,19
2009-04,24
2009-05,17
2009-06,23
2009-07,18
2009-08,22
2009-09,38
2009-10,31
2009-11,23
2009-12,56
2010-01,67
2010-02,67
2010-03,57
2010-04,74
2010-05,55
2010-06,56
2010-07,73
2010-08,70
2010-09,98
2010-10,67
2010-11,81
2010-12,107
2011-01,117
2011-02,59
2011-03,138
2011-04,123
2011-05,87
2011-06,85
2011-07,127
2011-08,148
2011-09,94
2011-10,101
2011-11,126
2011-12,123
2012-01,123
2012-02,135
2012-03,122
2012-04,122
2012-05,107
2012-06,75
2012-07,83
2012-08,114
2012-09,135
2012-10,118
2012-11,125
2012-12,125
2013-01,141
2013-02,91
2013-03,79
2013-04,75
2013-05,87
2013-06,87
2013-07,111
2013-08,105
2013-09,100
2013-10,92
2013-11,120
2013-12,113
2014-01,76
2014-02,80
2014-03,85
2014-04,99
2014-05,46
2014-06,83
2014-07,95
2014-08,43
2014-09,57
2014-10,55
2014-11,53
2014-12,58
2015-01,35
2015-02,37
2015-03,51
2015-04,51
2015-05,49
2015-06,49
2015-07,41
2015-08,48
2015-09,50
2015-10,46
2015-11,73
2015-12,33
2016-01,36
2016-02,38
2016-03,34
2016-04,34
2016-05,47
2016-06,53
2016-07,47
2016-08,49
2016-09,44
2016-10,33
2016-11,49
2016-12,43
2017-01,73
2017-02,59
2017-03,57
2017-04,39
2017-05,53
2017-06,51
2017-07,56
2017-08,75
2017-09,49
2017-10,54
2017-11,72
2017-12,55
2018-01,82
2018-02,51
2018-03,92
2018-04,93
2018-05,74
2018-06,95
2018-07,183
2018-08,130
2018-09,86
2018-10,81
2018-11,67
2018-12,71
2019-01,75
2019-02,70
2019-03,78
